Season_Epi_code,Pitched_Business_Identifier,Pitched_Business_Desc,Deal_Status,Deal_Shark
826,Bridal Buddy,"a functional slip worn under a wedding gown that allows the wearer to use the restroom on their own . Bridal Buddy is a lightweight slip worn under the gown that lets brides go to the bathroom while wearing it. When nature calls, the bride can bag up her bustle to safely relieve herself without making a mess.",1,KOL+LG
826,Laid Brand,"hair-care products made with pheromones . Laid brand is a Â pheromone-enriched hair care product thatÂ enhances color, in addition to protecting and hydrating hair.Â The pheromones help girls â€œexude confidenceâ€ wherever she goes.",0,
826,Rocketbook,a notebook that can scan contents to cloud services via an app and can be erased by being microwaved . Rocketbook is an intelligent reusable notebook that allows users to write with a traditional pen and notebook. The notebook is erasable and reusable by allowing users to send notes to the cloud. Simply use a smartphone to send writings to the cloud and a microwave oven to erase for future use.,0,
826,Wine & Design,painting classes with wine served . Wine & Design provides space for painting classes for all ages and experience levels where aÂ local artist guides each student with stroke-by-stroke instructions to ensure you paint your own unique masterpiece,1,KOL
824,Peoples Design,"a mixing bowl with a built-in scoop . Peoples Designs Scooping Bowl is a multi-purpose mixing bowl whichÂ saves time, space and money in the kitchen. It features a removable spatula, egg separator, all-in-one washing and draining, in addition to separating various ingredients easily.",1,LG
824,Rumi Spice,saffron imported from Afghanistan . Rumi Spice offersÂ exceptionally high-quality saffron of Afganistan whichÂ adds a burst of flavor to any dish. ItÂ graces the tables and kitchens of the best restaurants and retailers across the nation.,1,MC
824,Thompson Tee,"undershirts designed to block underarm sweat . The Thompson Tee is a unique undershirt that blocksÂ underarm sweat and preventsÂ embarrassing wet marks and yellow stains. It is sweat-proof technology which provides a safe, affordable and convenient solution to excessive underarm sweat.",1,RH
824,Wallet Buckle,a belt buckle that holds credit cards . The Wallet Buckle is a metal belt buckle that securely stores and accesses your cards and ID!. Â It serves as both a belt buckle and easy-to-access wallet.,1,RH
823,Flag,a free photo printing service that prints ads on the back of the photos ,0,
823,Guard Llama,"a portable remote that activates a personal emergency service . Guard Llama is a device that connects to your phone and sends your GPS location, photo, and moreÂ to the Emergency Dispatch Center in case of an urgent situation. It can also alerts anyone you have on your Friends & Family Contact List.",1,BC
823,Guardian Bikes,children's bicycles with an improved braking system . Guardian Bikes makes bikes for kids that include SureStop brakes whichÂ reduces stopping distance and helps prevent braking related accidents including head-over-handlebar and front wheel skidding.,1,MC
823,Validated,"an app that earns credit toward covering transportation costs when shopping at physical stores . Validated, is aÂ free mobile app that lets shops and restaurants pay for your transportation by earning credits to pay for car-share, ride-share, bike-share, mass transit, parking, and more.",0,
822,Apollo Peak,a wine-like beverage for cats and dogs . Apollo Peak offers firstÂ non-alcoholic designer beverages for cats and dogs which containÂ organic herbs and are made from fresh beets. ItÂ allows pet parents to share a drink with their furry friend.,1,KOL
822,CropSticks,"bamboo chopsticks with a built-in rest . CropsticksÂ is an innovative utensil which is similar toÂ classic chopsticks, but itÂ features a built-in rest made from sustainable bamboo.Â Each pair comes wrapped in a sleeve made of recycled paper.",0,
822,Seedsheet,"a sheet of weed-blocking fabric embedded with dissolvable pouches of seeds and soil for easily growing vegetables and herbs . SeedsheetÂ offers help to gardeners to make theirÂ gardening sustainable and simple. It makes growing plants very easy, and helps you put a Vermont Farm on your fire escape, stoop, patio, yard or rooftop. Itâ€™s like having a farmersâ€™ market right in your own backyard.",1,LG
822,Under the Weather,weatherproof pop-up pods to be used when watching . Under The Weather is a Sports Pod which offers an escape from the cold. It is a fully enclosed tent in which a soccer chair could fit comfortably.,1,MC
820,BootyQueen Apparel,"a fitness fashion line that accents a woman's rear end . Bootyqueen Apparel is a high-quality fitness apparel with a twist. It helps to create a sleek silhouette, reduce muffin top as well as pass the â€˜squat testâ€™.",1,DJ
